data,Latitude,Longitude
Bellbird,-37.6292,148.80075
Watchmaker,-37.629767,148.822283
Riley,-37.132167,146.8148
Ellery One,-37.428133,148.684033
West Buffalo,-37.0622,146.753667
Puggaree,-37.58725,148.773683
Ellery Two ,-37.433367,148.696583
